chrom	intergenic_start	intergenic_end	intergenic_distance	gene_1_ID	gene_1_name	gene_2_ID	gene_2_name	mean_phylop	prop_constraint	category	td_gene_ID	td_gene_name
chr7	23470492	23504779	34289	ENSG00000136231	IGF2BP3	ENSG00000164548	TRA2A	0.495989180203575	0.090233019335647	non_td	NA	NA
chr7	23532042	23597381	65341	ENSG00000164548	TRA2A	ENSG00000169193	CCDC126	0.233496763134942	0.0382608163327773	non_td	NA	NA
chr7	23644709	23680129	35422	ENSG00000169193	CCDC126	ENSG00000188732	FAM221A	0.0756930156399945	0.00417819434249901	non_td	NA	NA
chr7	23703250	23710202	6954	ENSG00000188732	FAM221A	ENSG00000196335	STK31	0.165167529479436	0.0112165660051769	non_td	NA	NA
chr7	23832514	24284187	451675	ENSG00000196335	STK31	ENSG00000122585	NPY	0.151096002656743	0.0188586926440472	non_td	NA	NA
chr7	24291863	24573267	281406	ENSG00000122585	NPY	ENSG00000105926	MPP6	0.197611387106183	0.0329097460608516	non_td	NA	NA
chr7	24694194	24698354	4162	ENSG00000105926	MPP6	ENSG00000105928	GSDME	0.0994702066314257	0.0153772224891879	non_td	NA	NA
chr7	24757941	24796539	38600	ENSG00000105928	GSDME	ENSG00000070882	OSBPL3	0.0670297668393805	0.0119689119170984	non_td	NA	NA
chr7	24981635	25118655	137022	ENSG00000070882	OSBPL3	ENSG00000172115	CYCS	0.0835199894907396	0.0145378114463371	non_td	NA	NA
chr7	25125261	25134691	9432	ENSG00000172115	CYCS	ENSG00000153790	C7orf31	0.0824430661577622	0.0104961832061069	non_td	NA	NA
chr7	25180357	25224569	44214	ENSG00000153790	C7orf31	ENSG00000105954	NPVF	0.0587231646084962	0.0162392002533134	non_td	NA	NA
chr7	25228487	26152197	923712	ENSG00000105954	NPVF	ENSG00000050344	NFE2L3	0.316948474199964	0.0602428029515693	td_neighbour	ENSG00000050344	NFE2L3
chr7	26187138	26201161	14025	ENSG00000050344	NFE2L3	ENSG00000122565	CBX3	1.41815379679145	0.27379679144385	td_bs	ENSG00000050344	NFE2L3
chr7	26213608	26291861	78255	ENSG00000122565	CBX3	ENSG00000086300	SNX10	0.04214874448917	0.00530317551594147	non_td	NA	NA
chr7	26374384	26538377	163995	ENSG00000086300	SNX10	ENSG00000280255	NA	0.498190810695434	0.0939845727003872	non_td	NA	NA
chr7	26541049	26667067	126020	ENSG00000280255	NA	ENSG00000005020	SKAP2	0.48674811934612	0.10307887636883	non_td	NA	NA
chr7	26995240	27092992	97754	ENSG00000005020	SKAP2	ENSG00000105991	HOXA1	0.319832119401742	0.0445608363852119	td_neighbour	ENSG00000105991	HOXA1
chr7	27096001	27100353	4354	ENSG00000105991	HOXA1	ENSG00000105996	HOXA2	1.60546371152963	0.297197978870005	td_bs	ENSG00000105991	HOXA1
chr7	27102687	27106183	3498	ENSG00000105996	HOXA2	ENSG00000105997	HOXA3	2.46054917095484	0.42166952544311	non_td	NA	NA
chr7	27152582	27153715	1135	ENSG00000105997	HOXA3	ENSG00000122592	HOXA7	1.46355947136564	0.237004405286344	non_td	NA	NA
chr7	27157937	27163534	5599	ENSG00000122592	HOXA7	ENSG00000257184	NA	1.10819039114127	0.233434541882479	non_td	NA	NA
chr7	27180014	27181156	1144	ENSG00000257184	NA	ENSG00000005073	HOXA11	2.5568715034965	0.454545454545455	non_td	NA	NA
chr7	27185233	27193502	8271	ENSG00000005073	HOXA11	ENSG00000106031	HOXA13	1.4444052714303	0.259944383992262	non_td	NA	NA
chr7	27200092	27242699	42609	ENSG00000106031	HOXA13	ENSG00000106038	EVX1	0.498573047947613	0.0985003168344716	td_neighbour	ENSG00000106038	EVX1
chr7	27250494	27380561	130069	ENSG00000106038	EVX1	ENSG00000279655	NA	0.337425804765154	0.0577155202238812	td_neighbour	ENSG00000106038	EVX1
chr7	27381207	27412163	30958	ENSG00000279655	NA	ENSG00000279429	NA	0.34593772207507	0.0611150591123458	non_td	NA	NA
chr7	27412892	27525441	112551	ENSG00000279429	NA	ENSG00000106049	HIBADH	0.350164405469518	0.0648061767554264	non_td	NA	NA
chr7	27662884	27830572	167690	ENSG00000106049	HIBADH	ENSG00000153814	JAZF1	0.289700966068323	0.0389409028564613	non_td	NA	NA
chr7	28180796	28299320	118526	ENSG00000153814	JAZF1	ENSG00000146592	CREB5	0.207097691645703	0.0326848117712569	non_td	NA	NA
chr7	28825895	28953357	127464	ENSG00000146592	CREB5	ENSG00000255690	TRIL	0.108175696667308	0.0375086298876546	non_td	NA	NA
chr7	28958331	29122339	164010	ENSG00000255690	TRIL	ENSG00000285162	NA	0.177930120114605	0.0410950551795622	non_td	NA	NA
chr7	29514668	29563834	49168	ENSG00000285162	NA	ENSG00000176532	PRR15	0.0781061666124287	0.0135657338106085	non_td	NA	NA
chr7	29567294	29806485	239193	ENSG00000176532	PRR15	ENSG00000122574	WIPF3	0.101591309110226	0.0210248627677231	non_td	NA	NA
chr7	29917067	29920103	3038	ENSG00000122574	WIPF3	ENSG00000136193	SCRN1	-0.098299539170507	0.0190915075707702	td_neighbour	ENSG00000136193	SCRN1
chr7	29990290	30010586	20298	ENSG00000136193	SCRN1	ENSG00000106080	FKBP14	0.183791457286432	0.0175879396984925	td_bs	ENSG00000136193	SCRN1
chr7	30026703	30027403	702	ENSG00000106080	FKBP14	ENSG00000106086	PLEKHA8	-0.014074074074074	0.0512820512820513	td_bs	ENSG00000106080	FKBP14
chr7	30130484	30134985	4503	ENSG00000106086	PLEKHA8	ENSG00000180354	MTURN	0.187748389962247	0.0326449033977348	non_td	NA	NA
chr7	30162763	30284596	121835	ENSG00000180354	MTURN	ENSG00000180233	ZNRF2	0.103714843846195	0.0229983173964788	non_td	NA	NA
chr7	30367690	30424526	56838	ENSG00000180233	ZNRF2	ENSG00000106100	NOD1	0.126660244906568	0.0227488651958197	non_td	NA	NA
chr7	30478785	30497076	18293	ENSG00000106100	NOD1	ENSG00000281039	NA	0.0619734871262233	0.0071612092057071	non_td	NA	NA
chr7	30550762	30580532	29772	ENSG00000281039	NA	ENSG00000106105	GARS1	0.0271641811097672	0.0043329302700524	non_td	NA	NA
chr7	30634034	30752136	118104	ENSG00000106105	GARS1	ENSG00000254959	NA	0.010746909503491	0.0281277518119623	non_td	NA	NA
chr7	30892082	30911852	19772	ENSG00000254959	NA	ENSG00000240583	AQP1	0.0781555735383369	0.0664070402589521	non_td	NA	NA
chr7	30925518	30938668	13152	ENSG00000240583	AQP1	ENSG00000106128	GHRHR	-0.0557116788321164	0.0452402676399027	non_td	NA	NA
chr7	30993255	31052307	59054	ENSG00000106128	GHRHR	ENSG00000078549	ADCYAP1R1	-0.0160804009889257	0.0314457953737257	non_td	NA	NA
chr7	31111480	31337464	225986	ENSG00000078549	ADCYAP1R1	ENSG00000164600	NEUROD6	0.188751843034516	0.0396086483233475	td_neighbour	ENSG00000164600	NEUROD6
chr7	31340727	31514070	173345	ENSG00000164600	NEUROD6	ENSG00000180347	ITPRID1	0.21544148951503	0.0479044679685021	td_bs	ENSG00000164600	NEUROD6
chr7	31658721	31687214	28495	ENSG00000180347	ITPRID1	ENSG00000106341	PPP1R17	0.183971644148099	0.0325671170380769	non_td	NA	NA
chr7	31708456	31751178	42724	ENSG00000106341	PPP1R17	ENSG00000154678	PDE1C	-0.0667212105608091	0.0130371688044191	non_td	NA	NA
chr7	32428132	32485337	57207	ENSG00000154678	PDE1C	ENSG00000106355	LSM5	0.0775951019980181	0.0126208331148286	non_td	NA	NA
chr7	32495284	32495425	143	ENSG00000106355	LSM5	ENSG00000105778	AVL9	-0.855524475524475	0.013986013986014	non_td	NA	NA
chr7	32588727	32868171	279446	ENSG00000105778	AVL9	ENSG00000170852	KBTBD2	0.0663324577915114	0.0193311051151206	non_td	NA	NA
chr7	32894132	32957403	63273	ENSG00000170852	KBTBD2	ENSG00000122642	FKBP9	0.088782039732592	0.01213787871604	td_neighbour	ENSG00000122642	FKBP9
chr7	33006931	33014113	7184	ENSG00000122642	FKBP9	ENSG00000122643	NT5C3A	0.0417905066815146	0.00904788418708241	td_bs	ENSG00000122642	FKBP9
chr7	33062798	33094796	32000	ENSG00000122643	NT5C3A	ENSG00000164610	RP9	0.0961634687500078	0.004125	non_td	NA	NA
chr7	33109405	33109556	153	ENSG00000164610	RP9	ENSG00000122507	BBS9	0.129627450980392	0	non_td	NA	NA
chr7	33877181	33904307	27128	ENSG00000122507	BBS9	ENSG00000164619	BMPER	0.157713395753464	0.044455912710115	non_td	NA	NA
chr7	34156428	34658217	501791	ENSG00000164619	BMPER	ENSG00000187258	NPSR1	-0.0114458808547746	0.00988658624805945	non_td	NA	NA
chr7	34878333	34928875	50544	ENSG00000187258	NPSR1	ENSG00000173852	DPY19L1	-0.00102403846153653	0.0089624881291548	non_td	NA	NA
chr7	35038272	35202429	164159	ENSG00000173852	DPY19L1	ENSG00000164532	TBX20	0.09445324959339	0.0206080690062683	td_neighbour	ENSG00000164532	TBX20
chr7	35254101	35632658	378559	ENSG00000164532	TBX20	ENSG00000122557	HERPUD2	0.111167176054445	0.0312368745690896	td_bs	ENSG00000164532	TBX20
chr7	35697460	35800931	103473	ENSG00000122557	HERPUD2	ENSG00000122545	SEPTIN7	0.226873300281227	0.0349946362819286	non_td	NA	NA
chr7	35907106	36153253	246149	ENSG00000122545	SEPTIN7	ENSG00000122547	EEPD1	0.0255743472449622	0.0200772702712585	non_td	NA	NA
chr7	36301539	36324151	22614	ENSG00000122547	EEPD1	ENSG00000164542	KIAA0895	-0.0815280799504732	0.00446625983903776	non_td	NA	NA
chr7	36390126	36512940	122816	ENSG00000164542	KIAA0895	ENSG00000136250	AOAH	0.181051719645621	0.0319502344971339	non_td	NA	NA
chr7	36724550	36852905	128357	ENSG00000136250	AOAH	ENSG00000155849	ELMO1	0.0327842735495556	0.0140935048341734	non_td	NA	NA
chr7	37449224	37683842	234620	ENSG00000155849	ELMO1	ENSG00000086289	EPDR1	0.0475751427841098	0.0147813485636348	non_td	NA	NA
chr7	37951937	38178244	226309	ENSG00000086289	EPDR1	ENSG00000010270	STARD3NL	0.135387346504135	0.0205250343556818	non_td	NA	NA
chr7	38230671	38239579	8910	ENSG00000010270	STARD3NL	ENSG00000227191	TRGC2	0.246657687991023	0.0492704826038159	non_td	NA	NA
chr7	38249573	38253379	3808	ENSG00000227191	TRGC2	ENSG00000211687	TRGJ2	0.747339548319332	0.113707983193277	non_td	NA	NA
chr7	38253430	38256336	2908	ENSG00000211687	TRGJ2	ENSG00000211688	TRGJP2	0.46835969738652	0.0674002751031637	non_td	NA	NA
chr7	38256397	38257878	1483	ENSG00000211688	TRGJP2	ENSG00000211689	TRGC1	0.645501685772083	0.109238031018206	non_td	NA	NA
chr7	38265679	38269490	3813	ENSG00000211689	TRGC1	ENSG00000211690	TRGJ1	0.741867033831631	0.111985313401521	non_td	NA	NA
chr7	38269541	38273586	4047	ENSG00000211690	TRGJ1	ENSG00000211691	TRGJP	0.397142821843339	0.0570793180133432	non_td	NA	NA
chr7	38273648	38276258	2612	ENSG00000211691	TRGJP	ENSG00000211692	TRGJP1	0.497553981623277	0.0647013782542113	non_td	NA	NA
chr7	38276319	38291615	15298	ENSG00000211692	TRGJP1	ENSG00000211693	TRGV11	0.0714503203033083	0.0198065106549876	non_td	NA	NA
chr7	38292079	38299810	7733	ENSG00000211693	TRGV11	ENSG00000211694	TRGV10	0.067787016681754	0.0412517780938834	non_td	NA	NA
chr7	38300323	38317016	16695	ENSG00000211694	TRGV10	ENSG00000211695	TRGV9	-0.0149612458820007	0.0122791254866727	non_td	NA	NA
chr7	38318862	38330342	11482	ENSG00000211695	TRGV9	ENSG00000211696	TRGV8	-0.0273288625674969	0.0136735760320502	non_td	NA	NA
chr7	38330936	38349354	18420	ENSG00000211696	TRGV8	ENSG00000211697	TRGV5	0.0345532573289888	0.0288816503800217	non_td	NA	NA
chr7	38350023	38353714	3693	ENSG00000211697	TRGV5	ENSG00000211698	TRGV4	0.00697969130787978	0.0222041700514487	non_td	NA	NA
chr7	38354518	38358511	3995	ENSG00000211698	TRGV4	ENSG00000211699	TRGV3	-0.10571914893617	0.0102628285356696	non_td	NA	NA
